SS,YYYY,MM,DD,HR,MIN,mm/dd/yyy,JULIAN,WEEK,StartTime,Sunrise_Time,JDY_GSS,NUM_DAYS_GSS,MIN_SUN
CL:C-001-1:1,2011,6,1,7,26,2011-06-01,152,23,1900-01-00,NA,0,0,0
CL:C-001-1:1,2011,6,9,5,11,2011-06-09,160,24,1900-01-00,NA,0,0,0
CL:C-001-1:1,2011,6,17,8,4,2011-06-17,168,25,1900-01-00,NA,0,0,0
CL:C-001-1:1,2011,6,25,5,24,2011-06-25,176,26,1900-01-00,NA,0,0,0
CL:C-001-1:1,2012,6,1,7,50,2012-06-01,152,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2012,6,7,5,4,2012-06-07,158,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2012,6,14,7,32,2012-06-14,165,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2012,6,24,4,55,2012-06-24,175,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2013,6,4,7,7,2013-06-04,155,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2013,6,16,5,20,2013-06-16,167,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2013,6,23,7,30,2013-06-23,174,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2013,6,28,6,57,2013-06-28,179,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2014,5,31,8,24,2014-05-31,151,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2014,6,7,5,3,2014-06-07,158,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2014,6,19,6,46,2014-06-19,170,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2015,6,4,5,13,2015-06-04,155,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2015,6,11,8,13,2015-06-11,162,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2015,6,25,5,4,2015-06-25,176,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-1:1,2016,5,28,7,46,2016-05-28,148,NA,7:46:00 AM,NA,NA,NA,NA
CL:C-001-1:1,2016,6,20,8,21,2016-06-20,171,NA,8:21:00 AM,NA,NA,NA,NA
CL:C-001-1:1,2016,6,29,5,31,2016-06-29,180,NA,5:31:00 AM,NA,NA,NA,NA
CL:C-001-1:1,2017,6,7,7,58,2017-06-07,157,21,NA,NA,NA,NA,NA
CL:C-001-1:1,2017,6,20,5,15,2017-06-20,170,23,NA,NA,NA,NA,NA
CL:C-001-1:1,2017,6,26,4,56,2017-06-26,176,24,NA,NA,NA,NA,NA
CL:C-001-1:1,2018,6,16,7,48,2018-06-16,166,22,NA,NA,NA,NA,NA
CL:C-001-1:1,2018,6,21,6,45,2018-06-21,171,23,NA,NA,NA,NA,NA
CL:C-001-1:1,2018,6,26,6,32,2018-06-26,176,24,NA,NA,NA,NA,NA
CL:C-001-2:1,1993,5,18,7,55,1993-05-18,138,21,1900-01-00,1/0/1900,110,28,155
CL:C-001-2:1,1993,5,28,6,8,1993-05-28,148,22,1900-01-00,1/0/1900,110,38,63
CL:C-001-2:1,1993,6,7,6,39,1993-06-07,158,24,1900-01-00,1/0/1900,110,48,103
CL:C-001-2:1,1993,6,18,5,32,1993-06-18,169,25,1900-01-00,1/0/1900,110,59,39
CL:C-001-2:1,1993,6,28,7,15,1993-06-28,179,27,1900-01-00,1/0/1900,110,69,139
CL:C-001-2:1,1994,5,19,6,11,1994-05-19,139,21,1900-01-00,1/0/1900,110,29,52
CL:C-001-2:1,1994,5,30,7,11,1994-05-30,150,23,1900-01-00,1/0/1900,110,40,128
CL:C-001-2:1,1994,6,9,8,5,1994-06-09,160,24,1900-01-00,1/0/1900,110,50,190
CL:C-001-2:1,1994,6,16,5,33,1994-06-16,167,25,1900-01-00,1/0/1900,110,57,40
CL:C-001-2:1,1995,5,18,6,43,1995-05-18,138,20,1900-01-00,1/0/1900,110,28,82
CL:C-001-2:1,1995,5,30,5,45,1995-05-30,150,22,1900-01-00,1/0/1900,110,40,41
CL:C-001-2:1,1995,6,9,6,39,1995-06-09,160,23,1900-01-00,1/0/1900,110,50,104
CL:C-001-2:1,1995,6,20,5,35,1995-06-20,171,25,1900-01-00,1/0/1900,110,61,42
CL:C-001-2:1,1995,6,30,8,2,1995-06-30,181,26,1900-01-00,1/0/1900,110,71,185
CL:C-001-2:1,1996,5,18,7,4,1996-05-18,139,20,1900-01-00,1/0/1900,110,29,105
CL:C-001-2:1,1996,5,29,6,58,1996-05-29,150,22,1900-01-00,1/0/1900,110,40,114
CL:C-001-2:1,1996,6,8,6,5,1996-06-08,160,23,1900-01-00,1/0/1900,110,50,70
CL:C-001-2:1,1996,6,18,6,20,1996-06-18,170,25,1900-01-00,1/0/1900,110,60,87
CL:C-001-2:1,1996,6,28,6,31,1996-06-28,180,26,1900-01-00,1/0/1900,110,70,95
CL:C-001-2:1,1997,5,19,7,18,1997-05-19,139,21,1900-01-00,1/0/1900,110,29,120
CL:C-001-2:1,1997,5,28,5,40,1997-05-28,148,22,1900-01-00,1/0/1900,110,38,35
CL:C-001-2:1,1997,6,7,7,45,1997-06-07,158,23,1900-01-00,1/0/1900,110,48,169
CL:C-001-2:1,1997,6,17,5,49,1997-06-17,168,25,1900-01-00,1/0/1900,110,58,56
CL:C-001-2:1,1997,6,29,7,50,1997-06-29,180,27,1900-01-00,1/0/1900,110,70,173
CL:C-001-2:1,1998,5,19,5,44,1998-05-19,139,21,1900-01-00,1/0/1900,110,29,25
CL:C-001-2:1,1998,5,28,7,20,1998-05-28,148,22,1900-01-00,1/0/1900,110,38,134
