,SS,YEAR,NEAR.DIST.conventional.seismic,NEAR.DIST.unimproved.road,NEAR.DIST.harvest,NEAR.DIST.pipeline,MEANAGE.565.harvest,treatment,harvest_interaction
432,CL:C-040-2:2-1,2012,0.400993039,0.625330507,0.153354906,0.526981037,0.136049667,control,0.020863884
433,CL:C-040-2:2-1,2014,0.400993039,0.625330507,0.153354906,0.526981037,0.155752806,control,0.023885457
434,CL:C-040-2:2-1,1993,0.400993039,0.625330507,1,0.526981037,1,control,1
435,CL:C-040-2:2-1,1994,0.400993039,0.625330507,1,0.526981037,1,control,1
436,CL:C-040-2:2-1,1995,0.400993039,0.625330507,0.185419408,0.526981037,0,control,0
437,CL:C-040-2:2-1,1996,0.400993039,0.625330507,0.185419408,0.526981037,0.00985157,control,0.001826672
438,CL:C-040-2:2-1,1997,0.400993039,0.625330507,0.185419408,0.526981037,0.019703139,control,0.003653344
439,CL:C-040-2:2-1,1998,0.400993039,0.625330507,0.185419408,0.526981037,0.029554709,control,0.005480017
440,CL:C-040-2:2-1,1999,0.400993039,0.625330507,0.185419408,0.526981037,0.039406278,control,0.007306689
461,CL:C-040-2:2-3,2000,0.303616502,0.243061988,0.548369848,0.324663114,0.049257848,control,0.027011518
462,CL:C-040-2:2-3,2001,0.303616502,0.243061988,0.548369848,0.324663114,0.059109417,control,0.032413822
463,CL:C-040-2:2-3,2002,0.303616502,0.243061988,0.548369848,0.324663114,0.068960987,control,0.037816126
464,CL:C-040-2:2-3,2003,0.303616502,0.243061988,0.548369848,0.324663114,0.078812556,control,0.04321843
465,CL:C-040-2:2-3,2005,0.303616502,0.243061988,0.536300373,1,0.048679068,control,0.026106602
466,CL:C-040-2:2-3,2006,0.303616502,0.243061988,0.536300373,1,0.058530638,control,0.031390003
467,CL:C-040-2:2-3,2007,0.303616502,0.243061988,0.536300373,1,0.068382207,control,0.036673403
468,CL:C-040-2:2-3,2008,0.303616502,0.243061988,0.389839582,1,0.004100791,control,0.001598651
469,CL:C-040-2:2-3,2009,0.303616502,0.243061988,0.389839582,1,0.01395236,control,0.005439182
470,CL:C-040-2:2-3,2010,0.303616502,0.243061988,0.389839582,1,0.02380393,control,0.009279714
471,CL:C-040-2:2-3,2011,0.303616502,0.243061988,0.389839582,1,0.033655499,control,0.013120246
472,CL:C-040-2:2-3,2012,0.303616502,0.243061988,0.389839582,1,0.043507069,control,0.016960778
473,CL:C-040-2:2-3,2014,0.303616502,0.243061988,0.389839582,1,0.063210208,control,0.024641841
474,CL:C-040-2:2-3,1993,0.311982742,0.243061988,1,0.324663114,1,control,1
475,CL:C-040-2:2-3,1994,0.311982742,0.243061988,1,0.324663114,1,control,1
476,CL:C-040-2:2-3,1995,0.311982742,0.243061988,0.548369848,0.324663114,0,control,0
477,CL:C-040-2:2-3,1996,0.311982742,0.243061988,0.548369848,0.324663114,0.00985157,control,0.005402304
478,CL:C-040-2:2-3,1997,0.311982742,0.243061988,0.548369848,0.324663114,0.019703139,control,0.010804607
479,CL:C-040-2:2-3,1998,0.311982742,0.243061988,0.548369848,0.324663114,0.029554709,control,0.016206911
480,CL:C-040-2:2-3,1999,0.303616502,0.243061988,0.548369848,0.324663114,0.039406278,control,0.021609215
501,CL:C-040-3:1-1,2000,0.096629632,1,0.912779537,1,1,control,0.912779537
502,CL:C-040-3:1-1,2001,0.096629632,1,0.912779537,1,1,control,0.912779537
503,CL:C-040-3:1-1,2002,0.096629632,1,0.912779537,1,1,control,0.912779537
504,CL:C-040-3:1-1,2003,0.096629632,1,0.912779537,0.24888039,1,control,0.912779537
505,CL:C-040-3:1-1,2005,0.096629632,1,0.13217653,0.24888039,0,control,0
506,CL:C-040-3:1-1,2006,0.096629632,1,0.13217653,0.24888039,0.00985157,control,0.001302146
507,CL:C-040-3:1-1,2007,0.096629632,1,0.13217653,0.24888039,0.019703139,control,0.002604293
508,CL:C-040-3:1-1,2008,0.096629632,1,0.13217653,0.24888039,0.029554709,control,0.003906439
509,CL:C-040-3:1-1,2009,0.096629632,1,0.13217653,0.24888039,0.039406278,control,0.005208585
510,CL:C-040-3:1-1,2010,0.096629632,1,0.13217653,0.24888039,0.049257848,control,0.006510731
